,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
33,ENCBS010LQV,,,,,,ENCSR247IUJ,,,,,,,,,,,,,,,,ENCSR191ZQT,ENCSR557TNE,,,,,ENCSR939UQD,,,,,,,ENCSR768SPE,,,,,,,,,,,,,,,
34,ENCBS011ENC,,,,,,ENCSR000EMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ENCBS011NFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR814XPE,,,,,,,,,,,,,,,,,,,,,,
36,ENCBS012DXH,,,,,,,,,,ENCSR753RYH,,,,,,ENCSR809CVZ,,,,,,ENCSR013KEC,ENCSR832JVP,ENCSR824UNY,,ENCSR065HOR,ENCSR786GJM,ENCSR501JET,,ENCSR594AQO,,ENCSR701KJD,,,ENCSR746CUY,,,,,,,,,,,,,,,
37,ENCBS012ENC,,,,,,ENCSR000EIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ENCBS012FWY,ENCSR379NMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ENCBS012PFZ,,,,,,ENCSR325GNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ENCBS012ZSH,,,,,,ENCSR567IWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ENCBS013CSB,,,,,,ENCSR420NOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ENCBS013ENC,,,,,,ENCSR000EIJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ENCBS013RPN,ENCSR660WSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ENCBS013VNY,ENCSR491VXJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ENCBS014DSD,,,,,,,,,,,,,,,,,,,,,,,ENCSR550XZG,ENCSR238WMO,,,,,,,,,,,ENCSR800IIW,,,,,,,,,,,,,,,
46,ENCBS014NFD,,,,,,,,,,,,,,,,,,,,,,,ENCSR955OBN,ENCSR815VLQ,,ENCSR100QDR,,ENCSR957CYJ,,,,,,,ENCSR577CDW,,,,,,,,,,,,,,,
47,ENCBS014VBU,ENCSR695FLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ENCBS015CUU,,,,,,ENCSR437PXY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ENCBS015ENC,,,,,,ENCSR000EMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ENCBS015NSJ,ENCSR227FVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ENCBS015UPH,,,,,,,,,,,,,,,,,,,,,,,ENCSR634MAK,ENCSR426UWA,,ENCSR845WAQ,,ENCSR894OYM,,,,ENCSR470PLJ,,,ENCSR316MNI,,,,,,,,,,,,,,,
52,ENCBS015WFT,,,,,,ENCSR085XKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ENCBS015WUS,,,,,,ENCSR076YBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ENCBS016ENC,,,,,,ENCSR000EMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ENCBS016JJR,,,,,,ENCSR324OTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ENCBS016ORZ,,,,,,ENCSR815DWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ENCBS016QWL,,,,,,,,,,,,,,,,,,,,,,ENCSR917QEH,ENCSR786ESI,ENCSR019ZRR,,ENCSR344WLV,,ENCSR122IJJ,,,,,,,,,,,,,,,,,,,,,,
58,ENCBS017AOD,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DST,,,,,ENCSR000DSR,,,,,,,,,,,,,,,,,,,,,,
59,ENCBS017DSU,ENCSR712ZRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ENCBS017GIN,,,,,,ENCSR949JYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ENCBS017GWZ,,,,,,ENCSR916MHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ENCBS017NGB,,,,,,,,,,,,,,,,,,,,,,ENCSR413YCI,ENCSR987EKG,ENCSR524VDR,,ENCSR863PSM,ENCSR693KAX,ENCSR653NOJ,,,,ENCSR872ROW,,,ENCSR308PVP,,,ENCSR839YFS,,,,,,,,,,,,
63,ENCBS017OST,,,,,,,,,,,,,,,,,,,,,,,ENCSR784MON,,,,,ENCSR297ONS,,,,,,,ENCSR785DEU,,,,,,,,,,,,,,,
64,ENCBS017XFJ,,,,,,ENCSR885ZBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ENCBS018DDZ,,,,,,,,,,,,,,,,,ENCSR125IJY,,,,,,ENCSR914QOK,ENCSR978CNH,,ENCSR661BMA,ENCSR791INM,ENCSR975GZA,,,,ENCSR121INC,,,,,,,,,,,,,,,,,,
66,ENCBS018DZY,,,,,,ENCSR968TPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ENCBS018GXW,,,,ENCSR756ZKG,,,,,ENCSR629TDG,,,,,,,,,,,,,ENCSR857GMX,ENCSR867TPP,ENCSR638FRE,,ENCSR581LZU,ENCSR701ZDB,ENCSR548PZS,,,ENCSR957CQH,ENCSR996GHD,,,ENCSR604JFH,,,ENCSR779KYW,,,,,,,,,,,,
68,ENCBS018TPT,,,,ENCSR125NBL,,ENCSR963ALV,,ENCSR069DPL,ENCSR677XPJ,,,,,,,,ENCSR591KSN,,,,,ENCSR449AXO,ENCSR139PIA,ENCSR573CWZ,,ENCSR274OIJ,ENCSR645BCH,ENCSR661MUS,,,ENCSR518LDN,ENCSR105NMJ,,,ENCSR256KTR,,,ENCSR720ZAX,,,,,,,,,,,ENCSR244ISQ,
69,ENCBS019UMZ,,,,,,,,,,,,,,,,,,,,,,ENCSR820DOR,ENCSR660TLD,ENCSR615ECV,,ENCSR371LUA,ENCSR250YFT,ENCSR205SJZ,,,,ENCSR927XFE,,,ENCSR598XDA,,,ENCSR243UAI,,,,,,,,,,,,
70,ENCBS019YGN,,,,,,,,,,,,,,,,,,,,,,ENCSR498ZRC,ENCSR839ICQ,ENCSR131EED,,ENCSR977TKR,,ENCSR419BDT,,,,,,,ENCSR599EKW,,,,,,,,,,,,,,,
71,ENCBS020ENC,,,,ENCSR000AOO,,,,ENCSR000ARR,ENCSR000AQP,,,,,,,,,,,,,ENCSR000AOQ,ENCSR000AOR,ENCSR000AOS,,ENCSR000AOT,ENCSR000ARS,ENCSR000AOU,,,ENCSR000AQQ,ENCSR000ART,,,ENCSR000AQR,,,ENCSR000ARU,,,,,,,,,,,,
72,ENCBS020KEB,,,,,,ENCSR384GGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ENCBS020XIW,,,,,,ENCSR106RBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ENCBS021ENC,,,,,,ENCSR000EPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR233IJT,
75,ENCBS021MUK,,,,,,ENCSR840QLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ENCBS021OJJ,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR196KYU,,,,,,,,,,,,,,,,,,,,,,,,
77,ENCBS021VJD,,,,,,ENCSR012RCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ENCBS022BLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTU,,,,,,,,,,,,,,,,,,,,,,
79,ENCBS022EQP,,,,,,ENCSR214QEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ENCBS022HXP,,,,,,,,,,,,,,,,,,,,,,ENCSR029SIG,ENCSR133RZO,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ENCBS022KBA,,,,,,,,,,,,,,,,,,,,,,ENCSR305ISQ,ENCSR731JZN,ENCSR497UIB,,ENCSR901JIL,,ENCSR276BXF,,,,ENCSR275GBW,,,ENCSR253WMN,,,,,,,,,,,,,,,
82,ENCBS023FES,,,,,,ENCSR746ZPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ENCBS023IXF,,,,,,ENCSR514QHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ENCBS023XCT,,,,ENCSR000ANE,,,,,ENCSR000APA,,,,,,,,,,,,,ENCSR000ANF,ENCSR000ANG,ENCSR000ANH,,ENCSR000ANI,ENCSR000ANJ,ENCSR000ANK,,,ENCSR000ANQ,ENCSR000ANL,,,ENCSR000ANR,,,ENCSR000ANM,,,,,,,,,,,,
85,ENCBS024BVP,,,,,,ENCSR696ZDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ENCBS024CHQ,,,,,,ENCSR362ZFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ENCBS024DYT,,,,ENCSR000DVA,,ENCSR000EOJ,,,,,,,,,,,,,,,,,,,,,,ENCSR000DVC,,,,,,,,,,,,,,,,,,,,,,
88,ENCBS024NHD,,,,,,ENCSR503BEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ENCBS024PJA,ENCSR032RGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,ENCBS024YFT,,,,,,ENCSR717BBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,ENCBS024ZMP,,,,,,ENCSR000EOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ENCBS025MJZ,,,,ENCSR000VGD,,,,,,,,,,,,,,,,,,ENCSR779ISJ,ENCSR731AIB,ENCSR400GCO,,ENCSR589JCY,,ENCSR249KTU,,,,,,,ENCSR511ICH,,,,,,,,,,,,,,,
93,ENCBS026BZC,,,,,,ENCSR134BSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ENCBS026RJE,,,,,,ENCSR550UWM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ENCBS027CBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR295PSK,,,,,,,,,,,,,,,
96,ENCBS027VFH,,,,,,ENCSR720TCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,ENCBS028DQF,,,,,,ENCSR466SUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,ENCBS028WAL,,,,,,ENCSR056PFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,ENCBS028WMZ,,,,,,ENCSR047FNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ENCBS029EAG,,,,,,,,,,,,,,,,,,,,,,,ENCSR180CHR,ENCSR996ENW,,ENCSR150GWJ,,ENCSR551QXE,,,,ENCSR058AUB,,,ENCSR975RSD,,,,,,,,,,,,,,,
101,ENCBS029YJS,,,,,,ENCSR577QZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ENCBS030BAP,,,,,,ENCSR222CLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ENCBS030HJI,ENCSR868FGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ENCBS030NVK,,,,,,ENCSR794KUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ENCBS031FCA,,,,,,ENCSR276ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ENCBS031GUL,,,,ENCSR000DUB,,,,,,,,,,,,,,,,,,,ENCSR000DTY,ENCSR000DTZ,,,,ENCSR000DUA,,,,,,,,,,,,,,,,,,,,,,
107,ENCBS031JXY,,,,,,ENCSR589HAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
