,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
574,ENCBS185XLT,,,,ENCSR000DQW,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DQV,,,,,,,,,,,,,,,,,,,,,,
575,ENCBS186DYL,,,,,,ENCSR329FHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,ENCBS186QMI,ENCSR858GTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,ENCBS187SSL,,,,,,ENCSR572LDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,ENCBS188BKX,,,,ENCSR000ATN,,,,,ENCSR000ASI,,,,,,,,,,,,,ENCSR000ASJ,ENCSR000ASK,ENCSR000ASL,,ENCSR000ASM,ENCSR000ATE,ENCSR000ASN,,,ENCSR000ASO,ENCSR000ATF,,,ENCSR000ASP,,,ENCSR000ASQ,,,,,,,,,,,,
579,ENCBS188NWH,,,,,,ENCSR634YVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,ENCBS188QOV,,,,,,,,,,,,,,,,,,,,,,ENCSR717HIA,ENCSR273NXD,ENCSR574KCT,,ENCSR480WMC,,ENCSR074FPH,,,,,,,ENCSR478UIR,,,,,,,,,,,,,,,
581,ENCBS188SKM,,,,,,ENCSR680SDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,ENCBS190MHX,ENCSR248ZAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,ENCBS191BKL,,,,,,ENCSR097BWW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,ENCBS191CHS,,,,ENCSR000DTR,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTT,,,,,,,,,,,,,,,,,,,,,,
585,ENCBS191SRJ,,,,,,ENCSR141VGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,ENCBS192DLO,,,,,,,,,,,,,ENCSR523ENE,,,,,,,,,,,,,,,,,ENCSR579TJT,,,,,,,,,,ENCSR444TMC,,,,,,,,,,
587,ENCBS192IRK,,,,,,,,,,,,,,,,,,,,,,ENCSR778NQS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,ENCBS192LWI,,,,,,,,,,,,,,,,,,,,,,ENCSR203KEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,ENCBS192OHK,,,,,,ENCSR865CYW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,ENCBS192PUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DQP,,,,,,,,,,,,,,,,,,,,,,
591,ENCBS192UCK,,,,,,ENCSR566VAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,ENCBS193GOL,,,,,,ENCSR587SZC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,ENCBS193VFU,,,,ENCSR466TNQ,,,,,,,,,,,,,,,,,,ENCSR436JNB,ENCSR205APY,ENCSR472BXE,,ENCSR692WNL,,ENCSR981USF,,,,,,,ENCSR845NXO,,,,,,,,,,,,,,,
594,ENCBS194XOD,,,,,,ENCSR904GDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,ENCBS197CBA,,,,ENCSR634OAQ,,,,,ENCSR559IFS,,,,,,,,ENCSR536SZD,,,,,,,ENCSR562JTY,,ENCSR011CSR,ENCSR692HIO,ENCSR082NQB,,,ENCSR339FOO,ENCSR327OGS,,,,,,,,,,,,,,,,,,
596,ENCBS197KQM,,,,,,ENCSR329FAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,ENCBS197VUB,ENCSR653VSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,ENCBS198CUA,,,,,,ENCSR306LNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,ENCBS198XCO,,,,,,,,,,,,,,,,,,,,,,ENCSR683RXF,,,,,,ENCSR291PVS,,,,,,,,,,,,,,,,,,,,,,
600,ENCBS199BPV,,,,,,ENCSR101RCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,ENCBS199DCJ,,,,,,ENCSR635GDW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,ENCBS200EQQ,,,,,,ENCSR564JUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,ENCBS200XAZ,,,,,,ENCSR728BAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,ENCBS201QWA,,,,,,ENCSR721XAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,ENCBS202SUM,,,,,,ENCSR962EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,ENCBS203EZT,,,,,,,,ENCSR113GDB,,,,,,,,,,,,,,ENCSR835MMN,,ENCSR526PZM,,,,ENCSR287VPM,,,,ENCSR111QAW,,,ENCSR679CHH,,,,,,,,,,,,,,,
607,ENCBS203SNR,,,,,,,,,,,,,,,,,,,,,,,ENCSR262NQD,ENCSR775GZI,,ENCSR888OSH,,ENCSR153SGD,,,,ENCSR335ELI,,,ENCSR560OUF,,,,,,,,,,,,,,,
608,ENCBS204NMW,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWB,,,,ENCSR000DWD,,,,,,,,,,,,,,,,,,,,,,
609,ENCBS204NZH,,,,,,ENCSR458AOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,ENCBS204ZVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR775TAI,,,,,,,,,,,,,,,
611,ENCBS205MTD,ENCSR212LYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,ENCBS205SJA,,,,,,ENCSR420HOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,ENCBS205VYW,,,,,,,,ENCSR703KWN,,,,,,,,,ENCSR562SRW,,,,,,,ENCSR120LGC,,,,,,,,,,ENCSR399VPY,ENCSR461LTR,,,ENCSR684BMS,,,,,,,,,,,,
614,ENCBS206BHY,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR336ZSZ,,ENCSR443SLY,,,,ENCSR969DAF,,,ENCSR389IVA,,,,,,,,,,,,,,,
615,ENCBS206WTA,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR996FWI,,,,,,,,,,,,,,,,,,,,,,,,
616,ENCBS208AAA,,,,,,ENCSR000EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,ENCBS208SUF,,,,,,ENCSR336QAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,ENCBS208WQR,,,,,,ENCSR785JXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,ENCBS209AAA,,,,,,ENCSR000EMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,ENCBS209WBW,,,,,,,,,,,,,,,,,,,,,,ENCSR596PFU,ENCSR774CFO,ENCSR523JCB,,ENCSR348TQM,,ENCSR554RQQ,,,,,,,ENCSR863TAL,,,,,,,,,,,,,,,
621,ENCBS210BUA,,,,,,ENCSR856QJX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,ENCBS210XKF,,,,,,ENCSR324NVG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,ENCBS211ALQ,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR324EFP,,,,,,,,,,,,,,,,,,,,,,,,
624,ENCBS211HGL,,,,,,ENCSR217SET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,ENCBS211PHF,,,,,,ENCSR238FMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,ENCBS211ZQL,,,,,,ENCSR295UXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,ENCBS212CDR,,,,,,ENCSR654WXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,ENCBS212IQG,,,,,,ENCSR060HPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,ENCBS212NYF,,,,ENCSR774PGN,,,,,,,,,,,,,,,,,,ENCSR137ZID,ENCSR499GKR,ENCSR847FTJ,,ENCSR829EYM,,ENCSR912QMS,,,,,,,ENCSR703KLE,,,,,,,,,,,,,,,
630,ENCBS213FCL,,,,,,ENCSR303JDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,ENCBS213IBL,ENCSR063UNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,ENCBS213NZW,,,,,,ENCSR053ZKP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,ENCBS213TPT,ENCSR220ASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,ENCBS213TZD,,,,,,,,,,,,,,,,,,,,,,ENCSR120WKZ,ENCSR485URZ,ENCSR605SXJ,,ENCSR351SZH,,ENCSR161XBV,,,,,,,ENCSR224LFY,,,,,,,,,,,,,,,
635,ENCBS214CSU,ENCSR648JJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,ENCBS214ENX,,,,,,ENCSR015BGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,ENCBS214FBD,ENCSR078EBD,,,ENCSR482PMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR691CPM,,,,,
638,ENCBS214OGS,,,,,,,,,,,,,,,,,,,,,,ENCSR066GUY,,ENCSR629RBC,,,,ENCSR345QKG,,,,,,,,,,,,,,,,,,,,,,
639,ENCBS214PGM,,,,,,,,,,,,,,,,,,,,,,ENCSR938FQG,ENCSR374JBS,ENCSR472CMR,,ENCSR421CEE,ENCSR714QUE,ENCSR642PBI,,,,ENCSR056PCC,,,ENCSR168QMC,,,ENCSR326VRD,,,,,,,,,,,,
640,ENCBS214RWK,ENCSR355SGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR724FCJ,,,,,
641,ENCBS214YHD,,,,,,,,,,,,,,,,,,,,,,ENCSR919BBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,ENCBS215JQI,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUO,,,,,,,,,,,,,,,,,,,,,,
643,ENCBS215MDS,,,,,,ENCSR010SZN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,ENCBS215WGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR301HRV,,,,,,,,,,,,,,,,,,,
645,ENCBS216RZX,,,,,,ENCSR356RNZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,ENCBS217AEF,,,,,,ENCSR620QNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,ENCBS217PJS,,,,,,ENCSR695AUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,ENCBS218AUL,ENCSR839UOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,ENCBS218JBL,,,,,,,,,,,,,,,,,,,,,,,ENCSR769HUN,ENCSR136ZNV,,ENCSR115VDV,,ENCSR367VRA,,,,ENCSR162VXO,,,ENCSR201GCJ,,,,,,,,,,,,,,,
650,ENCBS219DIA,,,,,,ENCSR235OZX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,ENCBS219ZEK,,,,,,ENCSR309YDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,ENCBS220AAA,,,,ENCSR000DKZ,,ENCSR000EJG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,ENCBS220DYF,,,,,,ENCSR452RAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,ENCBS220QDW,,,,,,ENCSR082XEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ENCBS221AAA,,,,ENCSR000DLB,,ENCSR000EJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,ENCBS221UNT,,,,,,ENCSR205ECC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,ENCBS222AAA,,,,,,ENCSR000EJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,ENCBS222SFZ,,,,,,ENCSR503UFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,ENCBS222SMU,,,,,,ENCSR801VSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,ENCBS223AAA,,,,ENCSR000DLG,,ENCSR000EJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,ENCBS223TDS,,,,,,,,,,,,,,,,,,,,,,,ENCSR630LQO,ENCSR292ZMG,,,,ENCSR966QUX,,,,,,,ENCSR441RDQ,,,,,,,,,,,,,,,
662,ENCBS223UAH,,,,,,ENCSR504KZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,ENCBS223WIE,,,,ENCSR225YGX,,,,,,,,,,,,,,,,,,ENCSR593INW,ENCSR080JPX,ENCSR787YHR,,ENCSR635IRN,,ENCSR377ILM,,,,,,,ENCSR709APF,,,,,,,,,,,,,,,
664,ENCBS224AAA,,,,,,ENCSR000EJX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,ENCBS224AXG,,,,,,ENCSR984SDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,ENCBS224FBK,,,,ENCSR168KQC,,,,,,,,,,,,,,,,,,ENCSR011BHU,ENCSR798YAU,,,,,ENCSR589CXZ,,,,,,,,,,,,,,,,,,,,,,
667,ENCBS224UJU,,,,,,ENCSR526TFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,ENCBS225AJI,,,,,,ENCSR932KWJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR580GSX,
669,ENCBS225VLZ,,,,,,ENCSR036ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,ENCBS226AAA,,,,,,ENCSR000EKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,ENCBS226NUR,,,,,,ENCSR746RDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,ENCBS226ZND,,,,,,ENCSR320SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,ENCBS227AAA,,,,,,ENCSR000EKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,ENCBS227KZL,,,,ENCSR705DNM,,,,,,,,,,,,,,,,,,ENCSR138TQF,ENCSR852AYS,,,,,ENCSR981TFL,,,,,,,,,,,,,,,,,,,,,,
675,ENCBS227ZMK,,,,,,ENCSR010TMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,ENCBS229MRC,,,,,,ENCSR242RPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,ENCBS229UDI,,,,,,ENCSR959ZXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,ENCBS229WUM,ENCSR903WVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,ENCBS230UHS,,,,,,ENCSR405YLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,ENCBS231ULS,ENCSR382LBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,ENCBS232HQQ,,,,,,,,,,,,,,,,,,,,,,ENCSR094VJC,,,,,,ENCSR620TXL,,,,,,,,,,,,,,,,,,,,,,
682,ENCBS232JRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR163ALM,,,,,,,,,,,,,,,,,,,,,,
683,ENCBS232JVM,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUT,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,ENCBS232ONZ,,,,,,ENCSR080PZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,ENCBS232VCE,,,,,,ENCSR760QZM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,ENCBS233AAA,,,,,,ENCSR000EPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR332DBS,
687,ENCBS233BAS,,,,,,ENCSR115YPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,ENCBS233WJN,,,,,,ENCSR263IGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,ENCBS234AAA,,,,,,ENCSR000EPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR894WMQ,
690,ENCBS234ICC,,,,,,ENCSR726YMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,ENCBS234JZB,,,,,,ENCSR805RJA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,ENCBS235AAA,,,,,,ENCSR000EPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,ENCBS235HQZ,ENCSR499ASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,ENCBS235TSM,,,,,,ENCSR000EPF,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWF,,,,,,,,,,,,,,,,,,,,,,
695,ENCBS236AFP,,,,,,ENCSR000EOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,ENCBS237LZY,,,,,,ENCSR525VCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,ENCBS237RAH,,,,,,ENCSR543WNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,ENCBS237SHK,,,,ENCSR089NBS,,,,,,,,,,,,,,,,,,ENCSR839GXY,ENCSR409QXS,ENCSR259KUF,,ENCSR744VAH,,ENCSR216YPQ,,,,,,,ENCSR889BFP,,,,,,,,,,,,,,,
699,ENCBS237TXC,,,,,,,,,,,,,,,,,,,,,,ENCSR540ADS,ENCSR204NFO,ENCSR671NXL,,ENCSR356ANC,,ENCSR466DZW,,,,,,,ENCSR728FLA,,,,,,,,,,,,,,,
700,ENCBS237ZMC,,,,,,ENCSR006XFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,ENCBS238CLI,,,,,,,,,,,,,,,,,,,,,,ENCSR958CPV,,,,,,ENCSR011KBS,,,,,,,,,,,,,,,,,,,,,,
702,ENCBS238JUI,ENCSR516YAD,,,,,,,,,,,,,,,,,,,,,ENCSR754DRC,,,,ENCSR564EFE,,ENCSR672RKZ,,,,,,,,,,,,,,,,,,,,,,
703,ENCBS238NAP,,,,,,ENCSR122VUW,,,,,,,,,,,,,,,,ENCSR891KSP,ENCSR862NIZ,ENCSR731OMG,,ENCSR340SGE,,,,,,,,,ENCSR734ESI,,,,,,,,,,,,,,,
704,ENCBS239GCA,,,,,,,,,,,,,,,,,,,,,,ENCSR379WXM,ENCSR671WZX,ENCSR765SCM,,ENCSR512CSM,,ENCSR103HMP,,,,,,,ENCSR694PCO,,,,,,,,,,,,,,,
705,ENCBS239OGZ,,,,,,ENCSR175OHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,ENCBS240VZM,,,,,,ENCSR742HBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,ENCBS241DAN,,,,,,ENCSR617NTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,ENCBS241HRO,,,,,,ENCSR566HLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,ENCBS241TLI,,,,ENCSR402IDP,,,,,ENCSR698CKZ,,,,,,,,,,,,,ENCSR758OEC,ENCSR404LJZ,,,ENCSR094VCE,ENCSR086YIH,ENCSR361FWQ,,,ENCSR542YRH,ENCSR872PRJ,,,,,,,,,,,,,,,,,,
710,ENCBS241XYR,,,,,,ENCSR813CKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,ENCBS241YJW,,,,,,,,,,,,,,,,,,,,,,,ENCSR727VOB,,,ENCSR067BMB,,,,,,ENCSR567ILB,,,,,,,,,,,,,,,,,,
712,ENCBS241ZPK,ENCSR593YFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,ENCBS242LMI,,,,ENCSR369RRE,,,,,,,,,,,,,,,,,,ENCSR830EXC,ENCSR206CIN,,,,,ENCSR888NRO,,,,,,,,,,,,,,,,,,,,,,
714,ENCBS242OKS,ENCSR993XED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,ENCBS242WXP,,,,,,,,,,,,,,,,,,,,,,ENCSR972GGW,ENCSR266RKE,ENCSR174YDU,,ENCSR837LWL,ENCSR598CRA,ENCSR632VNI,,,,ENCSR192IRQ,,,ENCSR422YCP,,,ENCSR421YVG,,,,,,,,,,,,
716,ENCBS243UXH,,,,ENCSR857RJQ,,,,,,,,,,,,,,,,,,ENCSR937EVN,ENCSR860GPM,ENCSR333HMT,,ENCSR775LGE,,ENCSR172LVU,,,,,,,ENCSR774NRD,,,,,,,,,,,,,,,
717,ENCBS243ZIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR293MTQ,,,,,,,,,,,,,,,,,,,,,,
718,ENCBS246ADS,,,,,,,,,,,,,,,,,,,,,,ENCSR726WVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,ENCBS246FGU,,,,ENCSR351SWL,,,,,,,,,,,,,,,,,,ENCSR278JAH,ENCSR706PAK,,,,,ENCSR128YOH,,,,,,,,,,,,,,,,,,,,,,
720,ENCBS246MHN,,,,,,ENCSR511GQA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,ENCBS246QPU,ENCSR476WNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,ENCBS247NGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR672HWL,,,,,,,,,,,,,,,,,,,,,,
723,ENCBS247UHY,ENCSR485TLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,ENCBS247YMQ,,,,,,ENCSR330JXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,ENCBS248BDU,,,,,,ENCSR516JCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,ENCBS248EXJ,,,,ENCSR967BSF,,,,,,,,,,,,,,,,,,ENCSR343DFX,ENCSR123ASL,ENCSR708TAB,,ENCSR761LTB,,ENCSR612GKP,,,,,,,ENCSR676FAM,,,,,,,,,,,,,,,
727,ENCBS248LIK,,,,ENCSR875NEW,,,,,,,,,,,,,,,,,,ENCSR771YJT,ENCSR611YUJ,ENCSR157ZVP,,ENCSR850RVA,,ENCSR314SPW,,,,,,,ENCSR479GPU,,,,,,,,,,,,,,,
728,ENCBS250ROE,,,,,,ENCSR654GSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,ENCBS251FRP,ENCSR970UNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,ENCBS251FWW,,,,,,ENCSR278SKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,ENCBS251MLH,,,,,,ENCSR200BNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,ENCBS252AAA,,,,ENCSR000DMV,,ENCSR000EKZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DMM,ENCSR000DMT,,,,,
733,ENCBS252PSC,,,,,,,,,,,,,,,,,,,,,,,ENCSR344VNY,ENCSR925WMT,,ENCSR668NXG,,ENCSR346KKE,,,,ENCSR666TSJ,,,ENCSR591FTM,,,,,,,,,,,,,,,
734,ENCBS253AAA,,,,ENCSR000DMY,,ENCSR000ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,ENCBS253HIE,,,,,,,,,,,,,,,,,,,,,,,,ENCSR910LIE,,,,,,,,,,,,,,,,,,,,,,,,,,
736,ENCBS253TYD,,,,,,,,ENCSR000ASY,,,,,,,,,,,,,,,,,,,,ENCSR814XPE,,,,,,,,,,,,,,,,,,,,,,
737,ENCBS254AAA,,,,,,ENCSR000ELB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,ENCBS254AOS,,,,,,ENCSR818JGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,ENCBS254OQS,ENCSR868FGK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,ENCBS255HZX,ENCSR653VSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
