,Experiment,Metric,Run Type,Count,Mean,Median,Std Dev,Min,Max
30,H3K4me1,coverage,,,0.4577309226192168,0.4035486278661517,0.24251771509820683,0.06084082930307143,0.8838180660059496
31,H3K4me1,read_length,,,56.6375968992248,50.0,22.021273656396737,28.0,101.0
32,H3K4me1,run_type,single-ended,473.0,,,,,
33,H3K4me1,run_type,paired-ended,43.0,,,,,
34,H3K9me3,depth,,,24.75043040248167,24.676926336180685,1.0599263387717754,20.903880375086292,27.10823757116426
35,H3K9me3,coverage,,,0.4613533188196337,0.3902522833994741,0.2347087457980116,0.06191239950127063,0.9012476374982085
36,H3K9me3,read_length,,,55.0,36.0,21.393254607127236,30.0,100.0
37,H3K9me3,run_type,single-ended,468.0,,,,,
38,H3K9me3,run_type,paired-ended,31.0,,,,,
39,ATAC-seq,depth,,,26.483520146286082,26.15365109997712,1.156094263139298,23.58548271176671,29.369889560834853
40,ATAC-seq,coverage,,,0.6495786747738702,0.6649159764799418,0.18532342818990347,0.17167265716573918,0.915561606205363
41,ATAC-seq,read_length,,,92.01193317422434,101.0,15.790917628700159,33.0,101.0
42,ATAC-seq,run_type,paired-ended,414.0,,,,,
43,ATAC-seq,run_type,single-ended,5.0,,,,,
44,H2AFZ,depth,,,24.57843536526644,24.583921403971253,0.8270033446349471,22.284897789358617,26.862460881851593
45,H2AFZ,coverage,,,0.3753878278199671,0.330822309355971,0.1775733185836501,0.08913318087809503,0.8427541852408924
46,H2AFZ,read_length,,,43.91489361702128,36.0,16.068774777842368,30.0,76.0
47,H2AFZ,run_type,single-ended,86.0,,,,,
48,H2AFZ,run_type,paired-ended,8.0,,,,,
49,H3F3A,depth,,,25.067424943632705,25.194102124399826,0.5832109900799608,23.93688321454952,26.260873890679644
50,H3F3A,coverage,,,0.5183568379375149,0.543641475618617,0.15704159658392236,0.2651401881037521,0.7839787508105606
51,H3F3A,read_length,,,55.86666666666667,55.0,19.87248237024141,36.0,76.0
52,H3F3A,run_type,single-ended,26.0,,,,,
53,H3F3A,run_type,paired-ended,4.0,,,,,
54,H3K79me2,depth,,,24.723606835585272,24.654355658783437,0.8487518813791531,22.065556161403784,27.22874971233841
55,H3K79me2,coverage,,,0.3452346188098457,0.2884862384855733,0.19136205370851384,0.06727586737128338,0.8831967699036108
56,H3K79me2,read_length,,,44.708333333333336,36.0,16.459493629986177,36.0,76.0
57,H3K79me2,run_type,single-ended,92.0,,,,,
58,H3K79me2,run_type,paired-ended,4.0,,,,,
59,H3K9me2,depth,,,25.127616673769634,25.355505080943296,0.7525962978852442,23.491563341438553,26.278744026395636
60,H3K9me2,coverage,,,0.5163745111861548,0.5290729492945856,0.16933518463253164,0.24171482508077852,0.8037045453343873
61,H3K9me2,read_length,,,47.25,36.0,17.984368212422698,36.0,76.0
62,H3K9me2,run_type,single-ended,28.0,,,,,
63,H3K9me2,run_type,paired-ended,4.0,,,,,
64,H3K4me2,depth,,,24.52120077708825,24.70737344018182,1.026908073220406,20.94796932444608,26.306980984720973
65,H3K4me2,coverage,,,0.29499915591391745,0.28457076655972846,0.16466165812972156,0.023287745363070482,0.7139678262695526
66,H3K4me2,read_length,,,44.9765625,36.0,14.172742789721182,30.0,76.0
67,H3K4me2,run_type,single-ended,125.0,,,,,
68,H3K4me2,run_type,paired-ended,3.0,,,,,
69,EZH2,depth,,,24.349846541406475,24.433666108333803,0.9934041888914598,21.657625055994977,26.95088304099972
70,EZH2,coverage,,,0.35821337353449684,0.3222558883965565,0.17024896316738586,0.0627327277732901,0.7574224684909789
71,EZH2,read_length,,,42.53061224489796,36.0,14.784302266346803,36.0,76.0
72,EZH2,run_type,single-ended,47.0,,,,,
73,EZH2,run_type,paired-ended,2.0,,,,,
74,H4K20me1,depth,,,24.367859741424834,24.693547461365775,1.101592530518351,21.728730998473686,26.122902622550818
75,H4K20me1,coverage,,,0.3727157179329761,0.4109244931696648,0.18478823593953997,0.06528274135896156,0.7372770658862465
76,H4K20me1,read_length,,,45.24528301886792,36.0,14.301874346586908,30.0,76.0
77,H4K20me1,run_type,single-ended,102.0,,,,,
78,H4K20me1,run_type,paired-ended,4.0,,,,,
79,H2AK9ac,depth,,,24.605815075998525,24.985450455450266,0.5368855023773057,23.84654431709505,24.985450455450266
80,H2AK9ac,coverage,,,0.3154698599990293,0.3672265435853687,0.07319500387125409,0.2119564928263506,0.3672265435853687
81,H2AK9ac,read_length,,,36.0,36.0,0.0,36.0,36.0
82,H2AK9ac,run_type,single-ended,3.0,,,,,
83,CTCF,depth,,,24.61177959529371,24.83702984795807,1.0384754859099135,20.897745029064122,26.939294419364863
84,CTCF,coverage,,,0.46138999716000584,0.5363267278973562,0.23606323103175628,0.026336613686905614,0.902857265115873
85,CTCF,read_length,,,63.61436170212766,76.0,22.922573333061823,28.0,101.0
86,CTCF,run_type,single-ended,325.0,,,,,
87,CTCF,run_type,paired-ended,51.0,,,,,
88,REST,depth,,,23.961332030929974,24.19772401475167,0.6372335318515251,22.692026715814116,24.710469567788607
89,REST,coverage,,,0.2808188516231583,0.2857766346031403,0.10626579393821349,0.10233329195868217,0.4302464580113508
90,REST,read_length,,,41.214285714285715,36.0,8.090369684547985,25.0,50.0
91,REST,run_type,single-ended,14.0,,,,,
92,POLR2AphosphoS5,depth,,,24.16330328851155,24.348980682848243,0.6703836788638996,22.48732068497036,24.871243779899963
93,POLR2AphosphoS5,coverage,,,0.22657079914294215,0.23887893627231757,0.08408013634211044,0.06912688057089134,0.33175544121957967
94,POLR2AphosphoS5,read_length,,,39.111111111111114,36.0,5.820355934981686,36.0,50.0
95,POLR2AphosphoS5,run_type,single-ended,9.0,,,,,
96,H2BK5ac,depth,,,24.33164708645624,24.4480320190576,0.6780180666553927,23.352311541175958,25.98986616513978
97,H2BK5ac,coverage,,,0.2761632421497405,0.25556314544466124,0.1023007327192222,0.1585722889896296,0.569209224347196
98,H2BK5ac,read_length,,,35.333333333333336,36.0,1.8856180831641267,30.0,36.0
99,H2BK5ac,run_type,single-ended,18.0,,,,,
100,H2AK5ac,depth,,,24.682595473832745,24.66037336983397,0.7927650558458114,23.425016981081242,25.97693224734497
101,H2AK5ac,coverage,,,0.3207209293182954,0.28847037760694016,0.12153812285369517,0.14728979360213065,0.5302161161422777
102,H2AK5ac,read_length,,,35.294117647058826,36.0,1.9331384382535275,30.0,36.0
103,H2AK5ac,run_type,single-ended,17.0,,,,,
104,H3K79me1,depth,,,24.400007619706958,24.0573046301306,0.9326675820707759,23.240845474127195,26.3168154095421
105,H3K79me1,coverage,,,0.29271482547885236,0.24891992818939773,0.1348493374602185,0.16650037762995204,0.6341762327711206
106,H3K79me1,read_length,,,36.0,36.0,0.0,36.0,36.0
107,H3K79me1,run_type,single-ended,19.0,,,,,
108,POLR2A,depth,,,24.887233605566543,25.207435366055556,1.245458777756218,21.681957688871716,26.826751809490535
109,POLR2A,coverage,,,0.5295077621642645,0.6578867864339786,0.2909623313198549,0.04557713790684257,0.8651612518124642
110,POLR2A,read_length,,,75.72727272727273,100.0,32.20203525214152,25.0,100.0
111,POLR2A,run_type,paired-ended,28.0,,,,,
112,POLR2A,run_type,single-ended,16.0,,,,,
113,H4K5ac,depth,,,24.229892861939295,24.28964789208713,0.6205659578643394,23.41659821425374,25.130592242582193
114,H4K5ac,coverage,,,0.24322860861733003,0.224814518654047,0.09777612603124888,0.12700829096706795,0.4493004210176619
115,H4K5ac,read_length,,,32.4,30.0,2.9393876913398134,30.0,36.0
116,H4K5ac,run_type,single-ended,10.0,,,,,
117,H2BK20ac,depth,,,24.079358099961762,24.446058874977656,0.4736124276456624,23.526105892561493,24.551124081572443
118,H2BK20ac,coverage,,,0.2483334244519857,0.22619669153948815,0.07307727186491333,0.16041931841160897,0.3326753969242614
119,H2BK20ac,read_length,,,36.0,36.0,0.0,36.0,36.0
120,H2BK20ac,run_type,single-ended,7.0,,,,,
121,H3K23me2,depth,,,23.92174333526687,23.80302190890314,0.3440326229462793,23.46907959562997,24.375074175568187
122,H3K23me2,coverage,,,0.23553482438734274,0.2005415801346314,0.06131725662203176,0.17572227847303404,0.3212797803976811
123,H3K23me2,read_length,,,33.0,33.0,3.0,30.0,36.0
124,H3K23me2,run_type,single-ended,6.0,,,,,
